Year	CO2Level
1940	4.86
1941	4.97
1942	4.96
1943	5.04
1944	5.12
1945	4.26
1946	4.65
1947	5.15
1948	5.42
1949	5.18
1950	5.93
1951	6.38
1952	6.47
1953	6.65
1954	6.79
1955	7.44
1956	7.93
1957	8.19
1958	8.42
1959	8.85
1960	9.39
1961	9.41
1962	9.75
1963	10.27
1964	10.82
1965	11.31
1966	11.86
1967	12.24
1968	12.9
1969	13.76
1970	14.9
1971	15.5
1972	16.22
1973	17.08
1974	17.01
1975	17.05
1976	17.99
1977	18.49
1978	19.06
1979	19.6
1980	19.48
1981	19.02
1982	18.87
1983	18.99
1984	19.64
1985	20.31
1986	20.61
1987	21.25
1988	22.08
1989	22.38
1990	22.52
1991	22.97
1992	22.31
1993	22.52
1994	22.74
1995	23.27
1996	23.99
1997	24.12
1998	24.02
1999	24.56
2000	25.2
2001	25.39
2002	25.95
2003	27.31
2004	28.25
2005	29.21
2006	30.18
2007	31.06
2008	31.58
2009	31.02
2010	32.81
2011	33.91
2012	34.38
2013	34.65
2014	34.77
2015	34.72
2016	34.73
2017	35.29
2018	36
2019	36.37
2020	34.37
2021	36.2
2022	36.5
2023	37.01
2024	37.41
